bank_name,tenure,gen_rate,annualised_gen_rate,sr_rate,annualised_sr_rate,super_sr_rate,annualised_super_sr_rate,threshold_amt
IDFC Bank,7 – 14 days,3.00%,,3.50%,,,,30000000
IDFC Bank,15 – 29 days,3.00%,,3.50%,,,,30000000
IDFC Bank,30 – 45 days,3.00%,,3.50%,,,,30000000
IDFC Bank,46 – 90 days,4.50%,,5.00%,,,,30000000
IDFC Bank,91 – 180 days,4.50%,,5.00%,,,,30000000
IDFC Bank,181 days – & less than 1 year,5.75%,,6.25%,,,,30000000
IDFC Bank,1 year,6.50%,,7.00%,,,,30000000
IDFC Bank,1 year 1 day – 399 days,7.25%,,7.75%,,,,30000000
IDFC Bank,400 days,7.75%,,8.25%,,,,30000000
IDFC Bank,401 days – 2 years,6.80%,,7.30%,,,,30000000
IDFC Bank,2 years 1 day – 3 years,7.00%,,7.50%,,,,30000000
IDFC Bank,3 years 1 day – 5 years,6.75%,,7.25%,,,,30000000
IDFC Bank,5 years- 1 day – 10 years,6.50%,,7.00%,,,,30000000
IDFC Bank,5 years,6.75%,,7.25%,,,,30000000
bank_name,tenure,gen_rate,annualised_gen_rate,sr_rate,annualised_sr_rate,super_sr_rate,annualised_super_sr_rate,threshold_amt
Jammu and Kashmir Bank,7    days to 30 days,3.50%,,4.0%,,,,30000000
Jammu and Kashmir Bank,31    days to 45 days,3.50%,,4.0%,,,,30000000
Jammu and Kashmir Bank,46    days to 90 days,5.25%,,5.75%,,,,30000000
Jammu and Kashmir Bank,91    days to 180 days,5.50%,,6.0%,,,,30000000
Jammu and Kashmir Bank,181    days to 270 days,6.25%,,6.75%,,,,30000000
Jammu and Kashmir Bank,271    days to less than 1 year,6.25%,,6.75%,,,,30000000
Jammu and Kashmir Bank,1    Year to less than 2 years,7.00%,,7.5%,,,,30000000
Jammu and Kashmir Bank,2    years to less than 3 years,7.00%,,7.5%,,,,30000000
Jammu and Kashmir Bank,3    years to less than 5 years,6.75%,,7.25%,,,,30000000
Jammu and Kashmir Bank,5    years to 10 years,6.50%,,7.0%,,,,30000000
Karur Vysya Bank,7 Days to 14 days,4.00%,4.06%,,,,,30000000
Karur Vysya Bank,15 Days to 30 days,4.00%,4.06%,,,,,30000000
Karur Vysya Bank,31 Days to 45 days,5.25%,5.35%,,,,,30000000
Karur Vysya Bank,46 Days to 90 days,5.25%,5.35%,,,,,30000000
Karur Vysya Bank,91 Days to 120 days ,6.00%,6.14%,,,,,30000000
Karur Vysya Bank,121 Days to 180 days,6.00%,6.14%,,,,,30000000
Karur Vysya Bank,181 Days to 270 days,6.25%,6.40%,,,,,30000000
Karur Vysya Bank,271 Days to less than 332 days,6.50%,6.66%,,,,,30000000
Karur Vysya Bank,333 days,7.40%,7.61%,,,,,30000000
Karur Vysya Bank,334 days to less than 1 year,6.50%,6.66%,,,,,30000000
Karur Vysya Bank,1 year and upto 443 days,7.00%,7.19%,,,,,30000000
Karur Vysya Bank,444 Days,7.50%,7.71%,,,,,30000000
Karur Vysya Bank,445 Days upto 2 years,7.00%,7.19%,,,,,30000000
Karur Vysya Bank,Above 2 years upto 759 days ,7.00%,7.19%,,,,,30000000
Karur Vysya Bank,760 Days Special Deposit,7.60%,7.82%,,,,,30000000
Karur Vysya Bank,761 Days up to 3 years,7.00%,7.19%,,,,,30000000
Karur Vysya Bank,Above 3 years upto 5 years,7.00%,7.19%,,,,,30000000
Karur Vysya Bank,Above 5 years upto 6 years,6.25%,6.40%,,,,,30000000
Karur Vysya Bank,Above 6 years,6.25%,6.40%,,,,,30000000
Karur Vysya Bank,For KVB - Tax Shield Deposits,5.90%,6.03%,,,,,30000000
Karur Vysya Bank,Rainbow Deposits(RBFD),5.25%,5.35%,,,,,30000000
Kotak Mahindra Bank,7 - 14 Days,2.75%,2.75%,3.25%,3.25%,,,30000000
Kotak Mahindra Bank,15 - 30 Days,3.00%,3.00%,3.50%,3.50%,,,30000000
Kotak Mahindra Bank,31 - 45 Days,3.25%,3.25%,3.75%,3.75%,,,30000000
